"Yard.Code","area","shrub","tree","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness","year","area_scale","shrub_scale","tree_scale","mean_dbh_scale","n_fruiting_plants_scale","proportion_fruit_scale","n_native_plants_scale","proportion_native_scale","richness_scale"
"Y47",2200000,6,4,18.625,1,0.1,0,0,"breeding",2,"2025",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y50",2400000,2,2,30,0,0,0,0,"migration",NA,"2024",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,NA
"Y50",2400000,2,2,30,0,0,0,0,"migration",8,"2025",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,1.70668869451309
"Y50",2400000,2,2,30,0,0,0,0,"breeding",NA,"2024",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,NA
"Y50",2400000,2,2,30,0,0,0,0,"breeding",1,"2025",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"migration",0,"2024",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-1.03053040504013
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"migration",0,"2025",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-1.03053040504013
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"breeding",3,"2024",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.00407324270766847
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"breeding",1,"2025",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.688378017595973
"Y26",3400000,0,4,17,0,0,0,0,"migration",2,"2024",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
