"Yard.Code","area","shrub","tree","density","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness"
"Y49",1300000,5,2,0.0538461538461538,17.0714285714286,0,0,0,0,"SR_breed_2024",2
"Y49",1300000,5,2,0.0538461538461538,17.0714285714286,0,0,0,0,"SR_breed_2025",5
"Y49",1300000,5,2,0.0538461538461538,17.0714285714286,0,0,0,0,"SR_breed",5
"Y25",1400000,2,2,0.0285714285714286,23.25,0,0,1,0.25,"SR_total",4
"Y25",1400000,2,2,0.0285714285714286,23.25,0,0,1,0.25,"SR_mig_2024",1
"Y25",1400000,2,2,0.0285714285714286,23.25,0,0,1,0.25,"SR_mig_2025",NA
"Y25",1400000,2,2,0.0285714285714286,23.25,0,0,1,0.25,"SR_mig",1
"Y25",1400000,2,2,0.0285714285714286,23.25,0,0,1,0.25,"SR_breed_2024",3
"Y25",1400000,2,2,0.0285714285714286,23.25,0,0,1,0.25,"SR_breed_2025",NA
"Y25",1400000,2,2,0.0285714285714286,23.25,0,0,1,0.25,"SR_breed",3
