"","Date","Time","Tag.ID","Species","Lat","Lon","Signal","Receiver","timestamp.EDT","timestamp","ID"
"128",2022-10-06,"08:15","137","HETH",45.43183,-73.94005,"250","New",2022-10-06 08:15:00,2022-10-06 12:15:00,"HETH137"
"129",2022-10-06,"08:27","136","HETH",45.43214,-73.94026,"241","New",2022-10-06 08:27:00,2022-10-06 12:27:00,"HETH136"
"130",2022-10-06,"08:30","134","HETH",45.43212,-73.9402,"240","New",2022-10-06 08:30:00,2022-10-06 12:30:00,"HETH134"
"131",2022-10-06,"08:40","144","HETH",45.43214,-73.93986,"234","New",2022-10-06 08:40:00,2022-10-06 12:40:00,"HETH144"
"132",2022-10-06,"09:33","188","MYWA",45.43017,-73.93887,"250","New",2022-10-06 09:33:00,2022-10-06 13:33:00,"MYWA188"
"133",2022-10-06,"10:03","133","HETH",45.4289,-73.93839,"237","New",2022-10-06 10:03:00,2022-10-06 14:03:00,"HETH133"
"134",2022-10-06,"10:15","142","HETH",45.42966,-73.93877,"236","New",2022-10-06 10:15:00,2022-10-06 14:15:00,"HETH142"
"135",2022-10-06,"10:40","10","SOSP",45.4357,-73.9386,"207","New",2022-10-06 10:40:00,2022-10-06 14:40:00,"SOSP10"
"136",2022-10-06,"10:45","140","HETH",45.42911,-73.93992,"250","New",2022-10-06 10:45:00,2022-10-06 14:45:00,"HETH140"
"137",2022-10-06,"10:52","135","HETH",45.42916,-73.93998,"241","New",2022-10-06 10:52:00,2022-10-06 14:52:00,"HETH135"
"138",2022-10-06,"11:01","7","SOSP",45.43607,-73.93509,"245","New",2022-10-06 11:01:00,2022-10-06 15:01:00,"SOSP7"
"139",2022-10-06,"11:06","11","SOSP",45.43013,-73.93973,"214","New",2022-10-06 11:06:00,2022-10-06 15:06:00,"SOSP11"
"140",2022-10-06,"11:07","193","MYWA",45.43,-73.94032,"202","New",2022-10-06 11:07:00,2022-10-06 15:07:00,"MYWA193"
"141",2022-10-06,"11:38","18","SOSP",45.42836,-73.93781,"237","New",2022-10-06 11:38:00,2022-10-06 15:38:00,"SOSP18"
"142",2022-10-06,"13:21","6","SOSP",45.43106,-73.94032,"223","New",2022-10-06 13:21:00,2022-10-06 17:21:00,"SOSP6"
"143",2022-10-06,"13:21","19","SOSP",45.43135,-73.94022,"250","New",2022-10-06 13:21:00,2022-10-06 17:21:00,"SOSP19"
"144",2022-10-07,"08:12","134","HETH",45.43296,-73.94009,"222","New",2022-10-07 08:12:00,2022-10-07 12:12:00,"HETH134"
"145",2022-10-07,"09:18","139","HETH",45.43185,-73.93982,"224","New",2022-10-07 09:18:00,2022-10-07 13:18:00,"HETH139"
"146",2022-10-07,"09:25","137","HETH",45.43187,-73.94025,"217","New",2022-10-07 09:25:00,2022-10-07 13:25:00,"HETH137"
"147",2022-10-07,"09:37","144","HETH",45.43197,-73.93957,"227","New",2022-10-07 09:37:00,2022-10-07 13:37:00,"HETH144"
"148",2022-10-07,"10:00","188","MYWA",45.43012,-73.93868,"244","New",2022-10-07 10:00:00,2022-10-07 14:00:00,"MYWA188"
"149",2022-10-07,"10:09","6","SOSP",45.43109,-73.94013,"228","New",2022-10-07 10:09:00,2022-10-07 14:09:00,"SOSP6"
"150",2022-10-07,"10:15","133","HETH",45.42891,-73.93833,"213","New",2022-10-07 10:15:00,2022-10-07 14:15:00,"HETH133"
"151",2022-10-07,"10:19","11","SOSP",45.4358,-73.93867,"223","New",2022-10-07 10:19:00,2022-10-07 14:19:00,"SOSP11"
"152",2022-10-07,"10:32","16","SOSP",45.43682,-73.93859,"244","New",2022-10-07 10:32:00,2022-10-07 14:32:00,"SOSP16"
"153",2022-10-07,"10:49","7","SOSP",45.43601,-73.9351,"225","New",2022-10-07 10:49:00,2022-10-07 14:49:00,"SOSP7"
"154",2022-10-07,"10:51","135","HETH",45.42994,-73.93895,"243","New",2022-10-07 10:51:00,2022-10-07 14:51:00,"HETH135"
"155",2022-10-07,"10:59","142","HETH",45.42277,-73.93882,"241","New",2022-10-07 10:59:00,2022-10-07 14:59:00,"HETH142"
"156",2022-10-07,"11:08","143","HETH",45.42939,-73.939,"222","New",2022-10-07 11:08:00,2022-10-07 15:08:00,"HETH143"
"157",2022-10-07,"14:08","190","MYWA",45.43918,-73.94242,"212","New",2022-10-07 14:08:00,2022-10-07 18:08:00,"MYWA190"
"158",2022-10-08,"08:36","6","SOSP",45.43171,-73.93967,"228","New",2022-10-08 08:36:00,2022-10-08 12:36:00,"SOSP6"
"159",2022-10-08,"08:44","144","HETH",45.43198,-73.94043,"220","New",2022-10-08 08:44:00,2022-10-08 12:44:00,"HETH144"
"160",2022-10-08,"08:47","136","HETH",45.43216,-73.9405,"232","New",2022-10-08 08:47:00,2022-10-08 12:47:00,"HETH136"
"161",2022-10-08,"08:52","134","HETH",45.43234,-73.94033,"215","New",2022-10-08 08:52:00,2022-10-08 12:52:00,"HETH134"
"162",2022-10-08,"08:57","137","HETH",45.43209,-73.94035,"210","New",2022-10-08 08:57:00,2022-10-08 12:57:00,"HETH137"
"163",2022-10-08,"09:00","7","SOSP",45.43685,-73.93854,"237","New",2022-10-08 09:00:00,2022-10-08 13:00:00,"SOSP7"
"164",2022-10-08,"09:00","198","MYWA",45.43736,-73.93941,"202","New",2022-10-08 09:00:00,2022-10-08 13:00:00,"MYWA198"
"165",2022-10-08,"09:07","141","HETH",45.4341,-73.94231,"207","New",2022-10-08 09:07:00,2022-10-08 13:07:00,"HETH141"
"166",2022-10-08,"09:21","19","SOSP",45.43127,-73.93987,"230","New",2022-10-08 09:21:00,2022-10-08 13:21:00,"SOSP19"
"167",2022-10-08,"09:50","138","HETH",45.43014,-73.93815,"250","New",2022-10-08 09:50:00,2022-10-08 13:50:00,"HETH138"
"168",2022-10-08,"09:56","142","HETH",45.4299,-73.93845,"250","New",2022-10-08 09:56:00,2022-10-08 13:56:00,"HETH142"
"169",2022-10-08,"09:59","133","HETH",45.42957,-73.93846,"233","New",2022-10-08 09:59:00,2022-10-08 13:59:00,"HETH133"
"170",2022-10-08,"10:06","135","HETH",45.42897,-73.93866,"214","New",2022-10-08 10:06:00,2022-10-08 14:06:00,"HETH135"
"171",2022-10-08,"10:16","18","SOSP",45.42873,-73.93679,"242","New",2022-10-08 10:16:00,2022-10-08 14:16:00,"SOSP18"
"172",2022-10-08,"10:53","143","HETH",45.42995,-73.93919,"211","New",2022-10-08 10:53:00,2022-10-08 14:53:00,"HETH143"
"173",2022-10-08,"11:26","188","MYWA",45.43083,-73.93847,"250","New",2022-10-08 11:26:00,2022-10-08 15:26:00,"MYWA188"
"174",2022-10-09,"08:23","137","HETH",45.43177,-73.93966,"224","New",2022-10-09 08:23:00,2022-10-09 12:23:00,"HETH137"
"175",2022-10-09,"08:27","144","HETH",45.43177,-73.93987,"204","New",2022-10-09 08:27:00,2022-10-09 12:27:00,"HETH144"
"176",2022-10-09,"08:32","136","HETH",45.43181,-73.94024,"210","New",2022-10-09 08:32:00,2022-10-09 12:32:00,"HETH136"
"177",2022-10-09,"09:21","188","MYWA",45.43044,-73.93912,"220","New",2022-10-09 09:21:00,2022-10-09 13:21:00,"MYWA188"
"178",2022-10-10,"07:13","134","HETH",45.43262,-73.94019,"241","New",2022-10-10 07:13:00,2022-10-10 11:13:00,"HETH134"
